course_id,user_id,viewed,explored,certified,completed,ip,cc_by_ip,countryLabel,continent,city,region,subdivision,postalCode,un_major_region,un_economic_group,un_developing_nation,un_special_region,latitude,longitude,LoE,YoB,gender,grade,passing_grade,start_time,first_event,last_event,nevents,ndays_act,nplay_video,nchapters,nforum_posts,nforum_votes,nforum_endorsed,nforum_threads,nforum_comments,nforum_pinned,roles,nprogcheck,nproblem_check,nforum_events,mode,is_active,cert_created_date,cert_modified_date,cert_status,unknown_date
HarvardX/CS50x/2014_T1,1004847,True,True,True,True,95.42.65.85,BG,Bulgaria,Europe,Varna,03,Varna,9000,Eastern Europe,Developed regions,,,43.2167,27.9167,hs,1994,m,0.0,0.6,2014-01-05 13:57:35,2014-01-05 13:57:35.478483,2015-07-22 16:42:39.715575,3302,63,1301,11,,,,,,,Student,0,0,0,verified,1,2014-06-06 17:59:26,2015-01-21 02:42:58,downloadable,
HarvardX/CS50x/2014_T1,1031119,True,True,True,True,94.11.23.119,GB,United Kingdom,Europe,Winsford,CHW,Cheshire,,Northern Europe,Developed regions,,,53.1833,-2.5167,b,1972,m,0.0,0.6,2013-08-28 19:27:56,2014-01-16 00:00:00,2015-03-10 06:05:39.564317,8713,88,1991,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 15:40:50,2015-01-21 02:31:49,downloadable,
HarvardX/CS50x/2014_T1,1096288,True,True,True,True,128.199.254.26,SG,Singapore,Asia,Singapore,,,,South-Eastern Asia,Developing_Nations,,,1.2931,103.8558,hs,1995,m,0.0,0.6,2014-07-27 18:31:13,2014-07-27 18:31:13.735951,2015-07-10 14:06:05.620858,2062,59,31,11,,,,,,,Student,0,0,0,honor,1,2014-09-12 22:41:46,2015-01-21 02:37:50,downloadable,
HarvardX/CS50x/2014_T1,1175116,True,True,True,True,77.31.79.237,SA,Saudi Arabia,Asia,Riyadh,01,Ar Riyāḑ,,Western Asia,Developing_Nations,,,24.6537,46.7152,a,1989,m,0.0,0.6,2013-09-01 02:07:52,2014-01-01 00:00:00,2015-03-11 04:06:41.945920,2003,90,12,11,,,,,,,Student,0,0,0,verified,1,2014-06-06 15:44:43,2015-01-21 02:24:02,downloadable,
HarvardX/CS50x/2014_T1,1286148,True,True,True,True,46.188.17.83,RU,Russian Federation,Europe,Moscow,MOW,Moscow,,Eastern Europe,Developed regions,,,55.7522,37.6156,b,1983,m,0.0,0.6,2013-09-22 21:07:11,2014-01-01 09:13:27.861475,2015-01-10 06:52:15.489531,8463,101,2515,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 15:56:23,2015-01-21 02:36:04,downloadable,
HarvardX/CS50x/2014_T1,1345508,True,True,True,True,119.94.238.163,PH,Philippines,Asia,Manila,00,National Capital Region,,South-Eastern Asia,Developing_Nations,,,14.6042,120.9822,m,1973,m,0.0,0.6,2013-08-23 13:16:32,2013-06-19 05:52:25.201439,2016-02-15 05:38:06.357641,2831,137,180,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 15:38:08,2015-01-21 02:42:54,downloadable,
HarvardX/CS50x/2014_T1,1434623,True,True,True,True,103.253.201.189,IN,India,Asia,Gurgaon,HR,Haryana,,Southern Asia,Developing_Nations,,,28.4667,77.0333,hs,1993,m,0.0,0.6,2013-10-13 16:24:46,2014-01-03 00:00:00,2014-09-27 11:45:27.075345,4236,47,1037,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 16:05:21,2014-09-15 17:27:45,downloadable,
HarvardX/CS50x/2014_T1,1524724,True,True,True,True,88.15.75.98,ES,Spain,Europe,Madrid,M,Madrid,28012,Southern Europe,Developed regions,,,40.4139,-3.7006,hs,1982,m,0.0,0.6,2014-01-03 23:53:07,2014-01-03 23:53:07.973793,2015-01-06 16:53:41.695278,4855,104,1030,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 17:48:48,2015-01-21 02:36:14,downloadable,
HarvardX/CS50x/2014_T1,1573897,True,True,True,True,197.133.204.15,EG,Egypt,Africa,Cairo,C,Muhafazat al Qahirah,,Northern Africa,Developing_Nations,,,30.0771,31.2859,b,1990,m,0.0,0.6,2013-12-09 20:10:20,2013-12-09 20:10:20.878874,2015-01-11 03:26:19.269428,1355,66,3,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 16:43:20,2015-01-21 02:40:15,downloadable,
HarvardX/CS50x/2014_T1,1606521,True,True,True,True,103.26.193.1,MN,Mongolia,Asia,Ulaanbaatar,1,Ulaanbaatar Hot,,Eastern Asia,Developing_Nations,,,47.9167,106.9167,hs,1997,m,0.0,0.6,2014-07-04 04:06:04,2014-07-04 00:00:00,2015-04-07 15:52:50.359511,5234,41,1880,11,,,,,,,Student,0,0,0,audit,1,2014-09-12 22:23:12,2015-01-21 02:36:00,downloadable,
HarvardX/CS50x/2014_T1,1633363,True,True,True,True,110.224.202.106,IN,India,Asia,Kolkata,WB,West Bengal,,Southern Asia,Developing_Nations,,,22.5697,88.3697,hs,1993,m,0.0,0.6,2013-07-18 13:39:51,2014-01-03 00:00:00,2015-01-02 15:40:48.335532,6569,177,1315,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 15:16:54,2015-01-21 02:44:45,downloadable,
HarvardX/CS50x/2014_T1,1680191,True,True,True,True,184.45.90.240,US,United States,Americas,Louisville,KY,Kentucky,40299,Northern America,Developed regions,,,38.1628,-85.52,b,1958,m,0.0,0.6,2014-01-02 18:03:26,2014-01-02 18:03:26.167583,2015-01-20 14:00:56.900964,4563,125,870,11,,,,,,,Student,0,0,0,verified,1,2014-06-06 17:27:23,2015-01-21 02:36:28,downloadable,
HarvardX/CS50x/2014_T1,1702458,True,True,True,True,143.107.185.38,BR,Brazil,Americas,São Paulo,SP,Sao Paulo,,South America,Developing_Nations,,Latin America and the Caribbean,-24.5157,-48.4219,b,1987,m,0.0,0.6,2013-08-05 14:28:07,2014-01-02 00:00:00,2015-05-13 13:23:42.244905,4598,126,1013,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 15:29:53,2015-01-21 02:25:28,downloadable,
HarvardX/CS50x/2014_T1,1908444,True,True,True,True,122.175.192.170,IN,India,Asia,Raipur,MP,Madhya Pradesh,,Southern Asia,Developing_Nations,,,22.75,77.7833,b,1992,m,0.0,0.6,2013-12-13 07:27:46,2013-12-13 07:27:46.654928,2015-03-12 04:58:45.463242,1115,65,96,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 16:47:09,2015-01-21 02:47:20,downloadable,
HarvardX/CS50x/2014_T1,1918536,True,True,True,True,189.63.227.47,BR,Brazil,Americas,Ribeirão Prêto,SP,Sao Paulo,,South America,Developing_Nations,,Latin America and the Caribbean,-21.1667,-47.8,b,1982,m,0.0,0.6,2013-07-04 13:22:11,2014-01-04 00:00:00,2014-09-11 19:29:12.802216,2733,72,592,11,,,,,,,Student,0,0,0,honor,1,2014-06-06 15:04:17,2014-09-15 16:32:07,downloadable,
6:36:03,2014-09-15 17:57:23,notpassing,
